ID,名前,種別,初期レベル,レベル限界,初期HP,HP100,初期L ATK,初期L MAT,初期L DEF,初期L MDE,初期G ATK,初期G MAT,初期G DEF,初期G MDE,L ATK100,L MAT100,L DEF100,L MDE100,G ATK100,G MAT100,G DEF100,G MDE100,初期指揮,初期機動,指揮100,機動100,初期回復力,回復100,兵士数,死亡可,捕獲可,解雇可,好感度,ス L ATK,ス L DEF,ス G ATK,サイズ　部下,装備,AI番号,立ち絵画像名,顔アイコン画像名,戦闘リーダープレハブ,戦闘兵士プレハブ,キャラ説明,死亡時セリフ,捕獲時セリフ,逃走時セリフ
157,アシュラ,5,33,-1,4,209,10,0,5,2,11,0,5,10,580,0,242,217,643,0,256,250,0,6,0,16,20,944,2500,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
158,アーリマン,5,33,-1,4,180,9,0,5,2,11,0,5,10,597,0,285,181,634,0,264,250,0,6,0,16,20,1008,2200,1,1,1,0,58,131,125,1,-1,5,,632_fv_devilleaderA,bv_devilleader,bv_zombi,知らん、次,グルルルル………,ガ………,グルル………
,ヴェロニカ領モブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,ユリエ,0,40,89,2,108,0,9,10,10,0,11,2,11,0,516,430,512,0,515,458,528,0,11,46,20,18,1095,1700,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
160,ミハイル,0,40,94,2,113,0,11,9,11,0,11,2,9,0,523,418,521,0,490,470,462,0,10,54,21,21,981,1600,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
161,ラファエロ,0,40,86,2,119,0,10,9,9,0,11,2,9,0,504,438,511,0,548,421,553,0,9,50,18,20,1056,1800,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
162,レリエル,0,40,87,2,113,0,11,10,9,0,11,2,11,0,533,472,495,0,496,488,467,0,9,47,19,21,952,1700,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
163,ギブリール,0,40,92,2,121,0,10,9,9,0,10,2,10,0,551,478,486,0,557,460,521,0,10,52,21,20,936,1700,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
164,ミカイル,0,40,95,2,120,0,11,10,9,0,9,2,9,0,527,411,468,0,477,486,488,0,9,53,20,20,1003,1600,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
165,メル,0,40,88,2,100,0,11,11,11,0,9,2,10,0,490,474,537,0,524,438,532,0,9,45,19,18,928,1500,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
166,トゥトゥーリア,1,40,85,2,102,0,11,9,9,0,10,2,11,0,488,415,488,0,477,454,514,0,11,47,18,22,993,1500,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
167,ロロ,1,40,97,2,115,0,10,9,10,0,10,2,9,0,467,427,475,0,504,421,545,0,9,52,22,19,996,1600,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
168,アーシェ,1,40,87,2,120,0,9,9,11,0,9,2,9,0,524,474,547,0,509,491,541,0,10,51,22,19,1082,1800,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
169,シャリー,1,40,91,2,102,0,10,11,10,0,9,2,9,0,509,440,540,0,555,462,493,0,10,47,22,19,931,1600,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
170,エスカップ,0,40,84,2,104,0,10,11,10,0,9,2,11,0,477,469,511,0,487,424,527,0,10,55,22,19,1049,1500,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
171,レグザ,0,40,99,2,109,0,9,10,10,0,11,2,9,0,534,490,472,0,521,486,493,0,9,49,18,21,966,1500,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
172,ディーガ,2,40,84,2,133,10,0,9,9,9,0,11,2,543,0,516,435,556,0,516,413,0,9,48,22,19,961,2600,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
173,ブラビア,2,40,82,2,148,10,0,9,9,11,0,11,2,536,0,520,406,477,0,515,424,0,9,46,19,21,1094,2400,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
174,ビクトリカ,2,40,80,2,154,10,0,9,10,9,0,10,2,520,0,507,428,530,0,531,492,0,10,53,18,22,1063,2500,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
175,クージョ,2,40,100,2,133,9,0,9,9,11,0,9,2,487,0,544,459,482,0,493,465,0,11,46,22,21,1044,2200,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
176,アブリル,3,40,93,2,133,9,0,10,9,9,0,11,2,518,0,460,466,328,0,657,707,0,18,47,18,22,906,2600,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
177,セシル,3,40,85,2,130,10,0,11,10,10,0,9,2,475,0,537,439,282,0,598,659,0,18,55,18,18,1043,2500,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
,ライザ領モブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,ヒドラー,2,40,100,2,153,11,0,9,10,11,0,11,2,471,0,485,450,558,0,494,471,0,10,45,19,22,933,2600,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
179,ストーリン,2,40,115,2,136,10,0,10,11,11,0,9,2,537,0,550,467,533,0,549,407,0,10,55,21,20,1094,2600,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
180,フーティン,2,40,143,2,128,9,0,9,9,9,0,10,2,522,0,560,463,532,0,497,433,0,11,49,20,20,925,2600,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
181,クルシチョフ,2,40,110,2,128,10,0,10,11,11,0,11,2,544,0,509,437,472,0,550,480,0,11,54,21,21,995,2200,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
182,ギルガメス,3,40,131,2,140,10,0,10,9,9,0,9,2,551,0,481,435,333,0,565,589,0,18,45,21,22,1088,2600,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
183,イスカンダー,3,40,110,2,139,11,0,11,10,10,0,11,2,486,0,527,407,331,0,559,703,0,18,48,20,20,995,2200,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
184,ムッスリーニ,3,40,106,2,127,10,0,11,11,11,0,11,2,519,0,460,487,330,0,621,668,0,18,50,21,20,1094,2400,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
185,ジョンウー,3,40,108,2,128,9,0,9,11,10,0,11,2,532,0,478,483,317,0,661,672,0,18,45,22,22,1007,2400,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
186,ナポレオ,0,40,100,2,113,0,10,10,11,0,11,2,9,0,550,469,472,0,558,481,514,0,11,53,18,20,956,1700,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
187,ノブナガ,0,40,143,2,117,0,11,9,9,0,10,2,9,0,550,410,527,0,525,442,469,0,9,52,18,18,1043,1800,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
188,ブビライ,0,40,136,2,104,0,9,11,11,0,10,2,10,0,481,418,536,0,487,450,476,0,11,55,18,18,1089,1800,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
189,レニン,0,40,131,2,103,0,11,10,10,0,10,2,11,0,486,472,559,0,525,406,496,0,9,46,19,22,1097,1700,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
190,モウタク,1,40,126,2,100,0,10,10,10,0,11,2,9,0,543,431,508,0,519,438,555,0,10,49,20,21,1090,1400,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
191,ツクモン,1,40,109,2,115,0,9,10,10,0,11,2,11,0,493,425,465,0,491,442,539,0,9,47,20,18,936,1700,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
192,アーサー,1,40,144,2,99,0,11,10,10,0,10,2,10,0,535,419,529,0,473,435,503,0,9,55,19,18,1048,1600,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
193,クーポタ,1,40,138,2,118,0,10,9,11,0,9,2,10,0,509,458,485,0,527,441,459,0,11,47,22,20,994,1600,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
194,ホムンクルスα,6,60,-1,400,400,10,0,10,10,0,0,0,0,1000,0,350,350,0,0,0,0,0,10,0,20,120,0,0,1,0,1,0,127,57,127,1,-1,6,,648_fv_homunculus,bv_homunculus,bv_homunculus,ERROR このユニットが仲間になっているのは致命的なバグだ。即刻制作者に連絡しろよ！　いいな！,DENGER セイギョ…フノウ…,ERROR 制作者に報告してください,WANING テッタイ…スル
195,メドラー,2,45,144,2,138,11,0,10,11,10,0,10,2,499,0,478,424,529,0,476,492,0,11,51,20,20,1045,2500,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
196,トウリン,2,45,132,2,143,11,0,10,10,11,0,11,2,505,0,526,466,518,0,530,419,0,11,46,19,22,927,2500,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
197,クーフーティン,2,45,141,2,149,9,0,9,10,9,0,9,2,525,0,471,405,485,0,466,428,0,9,46,21,21,953,2800,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
198,ブルジニョフ,2,45,100,2,148,11,0,11,11,9,0,9,2,533,0,505,476,526,0,548,425,0,9,50,19,20,921,3000,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
199,エンキドー,3,45,119,2,133,10,0,10,10,10,0,10,2,552,0,509,426,283,0,647,639,0,18,48,19,18,952,2900,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
200,アレクサンドロ,3,45,144,2,153,11,0,9,9,11,0,9,2,560,0,511,476,287,0,659,677,0,18,50,18,19,1032,2500,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
201,ムッツリンニ,3,45,140,2,149,11,0,10,10,10,0,10,2,508,0,534,451,332,0,563,615,0,18,52,21,19,920,2500,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
202,ショーン,3,45,128,2,134,10,0,11,9,9,0,11,2,460,0,559,441,282,0,633,603,0,18,46,18,19,1042,3000,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
203,カブレオ,0,45,150,2,120,0,10,10,11,0,11,2,11,0,463,488,550,0,487,426,550,0,9,55,19,18,914,1700,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
204,イエヤス,0,45,100,2,121,0,11,9,9,0,10,2,11,0,465,440,492,0,548,453,492,0,10,55,20,22,915,1700,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
205,ハーン,0,45,111,2,115,0,9,11,9,0,9,2,11,0,547,460,550,0,516,455,483,0,10,45,21,21,988,1800,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
206,サンクトゥ,0,45,145,2,100,0,11,11,9,0,11,2,11,0,560,409,501,0,487,480,538,0,11,54,20,21,1096,1600,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
207,エンセイ,1,45,119,2,120,0,11,11,9,0,11,2,10,0,553,407,507,0,549,471,538,0,9,54,19,19,938,1800,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
208,ヤサカーニ,1,45,123,2,118,0,11,10,10,0,9,2,9,0,497,409,527,0,468,465,504,0,9,52,19,20,1097,1900,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
209,クサナーギ,1,45,119,2,109,0,9,9,9,0,9,2,10,0,493,454,504,0,549,477,535,0,11,55,18,21,992,1800,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
210,ヤタ,1,45,140,2,103,0,9,10,9,0,11,2,10,0,547,489,519,0,461,477,508,0,11,55,18,19,1060,1600,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
211,ギドラー,2,50,120,2,139,10,0,11,10,9,0,10,2,466,0,524,483,462,0,464,459,0,10,52,21,21,944,3100,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
212,ドドンカ,2,50,116,2,154,11,0,9,9,11,0,9,2,478,0,463,434,461,0,481,439,0,11,55,22,22,1100,3100,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
213,クリスティアーノ,2,50,101,2,134,10,0,10,9,11,0,10,2,553,0,530,481,487,0,529,472,0,10,51,21,21,1070,3100,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
214,カムー,2,50,149,2,126,10,0,10,9,9,0,10,2,498,0,502,468,489,0,507,427,0,9,47,20,20,994,2700,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
215,ゴリアテ,3,50,139,2,136,9,0,9,10,9,0,9,2,471,0,536,478,307,0,669,700,0,18,52,22,22,903,3300,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
216,テト,3,50,148,2,130,11,0,11,11,10,0,9,2,487,0,504,429,294,0,601,688,0,18,53,22,18,941,2900,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
217,ラブスタ,3,50,110,2,148,11,0,10,10,11,0,9,2,492,0,514,467,321,0,595,614,0,18,50,21,20,1072,3200,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
218,ジータ,3,50,104,2,132,9,0,11,9,11,0,9,2,466,0,558,487,287,0,567,669,0,18,54,21,18,955,3100,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
219,ビグモー,0,50,147,2,108,0,11,10,10,0,9,2,10,0,546,464,494,0,464,447,487,0,9,55,19,19,1098,1900,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
220,バルドネッキア,0,50,138,2,110,0,11,11,11,0,11,2,11,0,493,460,502,0,510,405,510,0,11,51,18,20,967,2200,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
221,ゼッタン,0,50,106,2,116,0,10,11,11,0,9,2,10,0,536,418,486,0,553,442,463,0,10,52,20,19,979,1900,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
222,セロス,0,50,100,2,118,0,11,10,9,0,10,2,11,0,533,488,471,0,502,490,506,0,11,50,20,20,945,2000,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
223,ギリアス,1,50,143,2,113,0,11,11,10,0,11,2,11,0,536,415,555,0,505,486,561,0,11,55,18,21,1061,1900,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
224,ロドリゲス,1,50,148,2,111,0,9,9,11,0,9,2,11,0,488,419,526,0,561,405,497,0,9,52,18,22,1007,2200,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
225,マルティヌス,1,50,139,2,115,0,10,10,9,0,11,2,9,0,533,486,536,0,469,453,484,0,10,50,20,19,1029,2000,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
226,ソキュラテス,1,50,113,2,114,0,11,9,9,0,11,2,11,0,510,473,535,0,478,486,469,0,9,50,19,21,998,2000,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
227,アルテリオス,2,55,105,2,131,10,0,11,10,11,0,11,2,539,0,460,467,490,0,539,454,0,11,45,20,21,954,3100,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
228,アタリー,2,55,148,2,135,9,0,9,9,9,0,10,2,527,0,489,479,464,0,496,469,0,10,46,18,22,1021,3400,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
229,ピュンタ,2,55,130,2,129,9,0,9,9,9,0,10,2,535,0,480,455,552,0,502,463,0,10,46,21,20,1024,3100,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
230,ファムコニオス,2,55,140,2,134,10,0,10,10,9,0,10,2,524,0,462,424,515,0,555,465,0,10,51,21,18,964,3200,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
231,バンゲリン,3,55,100,2,144,10,0,10,10,10,0,11,2,537,0,522,440,300,0,633,643,0,18,48,18,20,1041,3400,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
232,スペルンガー,3,55,115,2,138,11,0,9,10,10,0,10,2,473,0,527,416,298,0,639,597,0,18,46,21,20,1029,3500,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
233,ヴァンダスタ,3,55,130,2,128,9,0,10,9,10,0,11,2,523,0,507,410,331,0,576,585,0,18,47,21,20,1008,3500,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
234,クロロガー,3,55,141,2,134,11,0,9,10,10,0,10,2,548,0,481,413,299,0,620,714,0,18,55,18,20,1072,3100,1,1,1,0,28,23,121,0,-1,3,,633_fv_mendakoleaderA,bv_mendakoleader,bv_mendakosoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
235,ジャービス,0,55,112,2,107,0,11,11,11,0,10,2,9,0,553,456,460,0,480,490,547,0,11,49,18,20,1003,2400,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
236,アンペール,0,55,117,2,121,0,10,10,10,0,9,2,11,0,473,487,532,0,491,495,548,0,10,47,20,19,997,2300,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
237,ボルト,0,55,135,2,100,0,11,9,10,0,10,2,9,0,481,406,477,0,527,423,475,0,10,45,22,21,997,2000,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
238,ワット,0,55,136,2,114,0,9,11,10,0,10,2,10,0,542,468,477,0,524,475,548,0,9,47,20,21,900,2300,1,1,1,0,30,57,118,1,-1,0,,632_fv_devilleaderA,bv_devilleader,bv_devil,知らん、次,うぎゃーーーー,くっ、離せ！,たっ、退却ー！
239,テスラー,1,55,111,2,104,0,9,9,11,0,9,2,9,0,517,448,492,0,504,407,557,0,9,52,22,20,914,2000,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
240,ミルル,1,55,101,2,100,0,11,11,9,0,10,2,11,0,474,476,546,0,471,478,533,0,11,55,22,22,1047,2200,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
241,ムムル,1,55,129,2,112,0,9,9,10,0,9,2,10,0,507,475,467,0,461,487,506,0,9,50,18,20,1021,2300,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
242,ククル,1,55,126,2,108,0,11,11,9,0,9,2,10,0,475,447,505,0,483,414,476,0,11,49,18,19,908,2300,1,1,1,0,128,126,119,0,-1,1,,631_fv_magicleaderA,bv_magicleader,bv_magicsoldier,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
243,ヘラクレース,2,60,109,2,148,9,0,9,11,11,0,9,2,519,0,501,482,477,0,531,476,0,10,52,18,19,991,4000,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
244,ハンニバル,2,60,134,2,153,11,0,10,10,9,0,9,2,550,0,473,424,510,0,548,442,0,9,47,18,18,941,3500,1,1,1,0,59,129,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,くそぉ……,くっ、離せ！,たっ、退却ー！
245,クセルクセス,2,60,130,2,151,11,0,11,9,9,0,10,2,477,0,514,441,509,0,489,420,0,11,50,20,20,1014,3900,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐあ……,くっ、離せ！,たっ、退却ー！
246,レオニダス,2,60,126,2,147,11,0,9,10,11,0,11,2,524,0,532,443,549,0,513,407,0,10,51,18,20,942,3900,1,1,1,0,59,131,120,1,-1,2,,634_fv_leadersoldierA,bv_leadersoldire,bv_slave,知らん、次,ぐ……,くっ、離せ！,たっ、退却ー！
